t,n,e,d,vn,ve,vd,phi,theta,psi,p,q,r,phiE,thetaE,psiE,nE,eE,dE,vnE,veE,vdE,T1,T2,T3,T4
0.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000010,-0.007739,2.000333,1.999986,-0.000230,0.000455,-0.000573,0.000075,3.454501,3.449090,3.453266,3.449556,
0.010000,2.000000,2.000000,0.000000,0.000000,0.000000,0.070454,0.000000,0.000000,0.000000,0.000060,0.000027,0.000018,-0.000029,-0.000036,-0.007727,2.000339,1.999977,0.000120,0.000675,-0.001044,0.069881,3.504508,3.504694,3.503167,3.504165,
0.020000,2.000000,2.000000,0.000000,0.000000,0.000000,0.118397,0.000001,0.000000,0.000000,0.000137,0.000115,0.000030,-0.000017,-0.000019,-0.007718,2.000348,1.999971,0.001057,0.000787,-0.000783,0.117778,3.542038,3.538740,3.542466,3.538853,
0.030000,2.000000,2.000000,0.000000,-0.000000,0.000000,0.148040,0.000002,0.000001,0.000000,0.000187,0.000166,0.000054,-0.000002,-0.000027,-0.007739,2.000360,1.999946,0.002364,0.000978,-0.001199,0.147169,3.564265,3.562648,3.563968,3.562004,
0.040000,2.000000,2.000000,0.000000,-0.000000,0.000000,0.162863,0.000004,0.000003,0.000001,0.000215,0.000240,0.000080,-0.000006,-0.000047,-0.007734,2.000293,1.999894,0.003698,-0.001408,-0.001989,0.155812,3.571634,3.569446,3.570721,3.569683,
0.050000,2.000000,2.000000,0.000000,-0.000000,0.000001,0.165771,0.000006,0.000005,0.000002,0.000278,0.000324,0.000107,-0.000008,-0.000041,-0.007688,2.000215,2.000098,0.004670,-0.003241,0.003311,0.143930,3.558413,3.564681,3.559814,3.564875,
0.060000,2.000000,2.000000,0.000000,-0.000001,0.000001,0.159216,0.000009,0.000009,0.000003,0.000286,0.000334,0.000107,-0.000021,-0.000039,-0.007697,2.000167,1.999986,0.004873,-0.003543,0.000423,0.112206,3.539723,3.535993,3.540262,3.537036,
0.070000,2.000000,2.000000,0.000000,-0.000002,0.000002,0.145278,0.000012,0.000012,0.000004,0.000310,0.000286,0.000120,0.000018,-0.000010,-0.007646,2.000167,2.000140,0.004864,-0.002768,0.003012,0.078293,3.509941,3.514252,3.513116,3.513952,
0.080000,2.000000,2.000000,0.000000,-0.000003,0.000004,0.125639,0.000015,0.000015,0.000005,0.000206,0.000146,0.000120,0.000021,0.000004,-0.007671,2.000080,2.000143,0.004120,-0.002952,0.002424,0.034399,3.479064,3.478957,3.480730,3.479339,
0.090000,2.000000,2.000000,0.000000,-0.000005,0.000005,0.101705,0.000017,0.000016,0.000006,0.000078,-0.000038,0.000123,0.000054,-0.000033,-0.007643,1.999929,2.000246,0.002704,-0.004961,0.003824,-0.015147,3.437875,3.445492,3.439622,3.443636,
0.100000,2.000000,2.000000,0.000000,-0.000007,0.000007,0.074638,0.000018,0.000016,0.000008,-0.000152,-0.000181,0.000103,0.000020,-0.000016,-0.007603,1.999795,2.000346,0.001750,-0.006481,0.005138,-0.052094,3.410334,3.414744,3.412358,3.416442,
0.110000,2.000000,2.000000,0.000000,-0.000009,0.000010,0.045290,0.000016,0.000014,0.000009,-0.000348,-0.000428,0.000069,0.000004,0.000003,-0.007546,1.999665,2.000402,0.000473,-0.007098,0.005203,-0.090663,3.382192,3.383528,3.384993,3.384909,
0.120000,2.000000,2.000000,0.000000,-0.000011,0.000012,0.014353,0.000013,0.000010,0.000009,-0.000554,-0.000773,0.000040,-0.000008,-0.000003,-0.007477,1.999825,2.000323,-0.000574,-0.003372,0.003562,-0.121599,3.358342,3.361211,3.359681,3.361475,
0.130000,2.000000,2.000000,0.000000,-0.000012,0.000013,-0.017664,0.000007,0.000002,0.000010,-0.000758,-0.001106,0.000007,-0.000009,-0.000026,-0.007519,1.999845,2.000349,-0.001885,-0.002627,0.003920,-0.152744,3.333610,3.338729,3.334455,3.337857,
0.140000,1.999999,2.000001,-0.000177,-0.000013,0.000014,-0.050354,-0.000001,-0.000009,0.000010,-0.000981,-0.001371,-0.000036,0.000005,-0.000060,-0.007480,2.000179,2.000298,-0.002843,0.002772,0.002639,-0.175076,3.317726,3.321296,3.317677,3.319040,
0.150000,1.999999,2.000001,-0.000680,-0.000012,0.000014,-0.083444,-0.000010,-0.000023,0.000009,-0.001238,-0.001501,-0.000081,-0.000034,-0.000055,-0.007504,2.000368,1.999904,-0.003819,0.005061,-0.003852,-0.194573,3.305764,3.302662,3.303665,3.303209,
0.160000,1.999999,2.000001,-0.001515,-0.000009,0.000013,-0.116733,-0.000023,-0.000038,0.000009,-0.001350,-0.001551,-0.000109,-0.000050,-0.000073,-0.007480,2.000092,1.999801,-0.005018,0.000096,-0.004789,-0.214897,3.287519,3.289636,3.284862,3.289909,
0.170000,1.999999,2.000001,-0.002682,-0.000004,0.000010,-0.150055,-0.000036,-0.000053,0.000008,-0.001336,-0.001507,-0.000146,-0.000053,-0.000103,-0.007333,2.000065,2.000087,-0.006757,-0.000375,0.000501,-0.240337,3.265615,3.271396,3.263951,3.271163,
0.180000,1.999999,2.000001,-0.004183,0.000003,0.000005,-0.183244,-0.000050,-0.000068,0.000006,-0.001274,-0.001404,-0.000202,-0.000092,-0.000075,-0.007295,1.999782,1.999872,-0.008411,-0.004171,-0.002203,-0.260514,3.250423,3.252722,3.250203,3.254944,
0.190000,1.999999,2.000001,-0.006015,0.000012,-0.000001,-0.216198,-0.000062,-0.000082,0.000004,-0.001138,-0.001392,-0.000261,-0.000066,-0.000098,-0.007176,1.999758,1.999966,-0.010303,-0.004407,-0.000475,-0.280758,3.232922,3.238722,3.233400,3.238729,
0.200000,1.999999,2.000001,-0.008177,0.000023,-0.000010,-0.248836,-0.000074,-0.000096,0.000001,-0.001046,-0.001400,-0.000330,-0.000061,-0.000136,-0.007202,1.999800,2.000058,-0.012121,-0.003389,0.000880,-0.296622,3.221665,3.224849,3.221409,3.224621,
0.210000,1.999999,2.000001,-0.010665,0.000036,-0.000019,-0.281118,-0.000084,-0.000110,-0.000002,-0.000971,-0.001390,-0.000398,-0.000046,-0.000135,-0.007158,1.999587,2.000356,-0.014898,-0.006059,0.004955,-0.324017,3.194351,3.207387,3.195647,3.207429,
0.220000,2.000000,2.000001,-0.013476,0.000050,-0.000030,-0.312939,-0.000094,-0.000124,-0.000006,-0.000956,-0.001428,-0.000502,-0.000036,-0.000142,-0.007058,1.999569,2.000390,-0.017583,-0.005489,0.004747,-0.345652,3.173293,3.192974,3.175629,3.192639,
0.230000,2.000000,2.000001,-0.016606,0.000066,-0.000042,-0.344253,-0.000103,-0.000138,-0.000011,-0.001038,-0.001530,-0.000659,-0.000120,-0.000182,-0.007121,1.999727,1.999973,-0.020987,-0.002634,-0.001909,-0.374090,3.156636,3.164634,3.155110,3.166031,
0.240000,2.000001,2.000000,-0.020048,0.000084,-0.000056,-0.374975,-0.000114,-0.000154,-0.000017,-0.001001,-0.001607,-0.000822,-0.000148,-0.000231,-0.007083,1.999917,1.999954,-0.024482,0.000610,-0.001630,-0.398863,3.134812,3.146837,3.132359,3.147088,
0.250000,2.000002,2.000000,-0.023798,0.000103,-0.000070,-0.405061,-0.000124,-0.000170,-0.000026,-0.000875,-0.001591,-0.001006,-0.000169,-0.000202,-0.007003,1.999732,1.999962,-0.028327,-0.001715,-0.001539,-0.424512,3.113620,3.124352,3.112606,3.125882,
0.260000,2.000003,1.999999,-0.027849,0.000125,-0.000086,-0.434470,-0.000133,-0.000186,-0.000036,-0.000684,-0.001596,-0.001201,-0.000224,-0.000207,-0.006983,1.999846,1.999660,-0.032634,0.000072,-0.005915,-0.452899,3.087954,3.103318,3.085955,3.105460,
0.270000,2.000004,1.999998,-0.032193,0.000149,-0.000103,-0.463149,-0.000139,-0.000202,-0.000048,-0.000386,-0.001605,-0.001427,-0.000269,-0.000234,-0.006947,1.999911,1.999358,-0.037252,0.000919,-0.009484,-0.480882,3.066091,3.079655,3.062311,3.081459,
0.280000,2.000006,1.999997,-0.036825,0.000174,-0.000120,-0.491058,-0.000143,-0.000218,-0.000062,0.000051,-0.001542,-0.001673,-0.000227,-0.000284,-0.006882,2.000086,1.999564,-0.042144,0.003526,-0.005645,-0.508061,3.045495,3.055506,3.041925,3.055261,
0.290000,2.000007,1.999996,-0.041736,0.000201,-0.000138,-0.518169,-0.000143,-0.000233,-0.000079,0.000517,-0.001357,-0.001917,-0.000194,-0.000278,-0.006846,1.999994,1.999800,-0.047217,0.001704,-0.001730,-0.533320,3.020941,3.036307,3.018827,3.036181,
0.300000,2.000009,1.999994,-0.046917,0.000230,-0.000156,-0.544468,-0.000138,-0.000247,-0.000098,0.000961,-0.001130,-0.002177,-0.000146,-0.000288,-0.006854,1.999978,1.999982,-0.052590,0.000747,0.001231,-0.558554,3.002993,3.010900,3.002530,3.009385,
0.310000,2.000012,1.999993,-0.052362,0.000261,-0.000173,-0.569946,-0.000128,-0.000258,-0.000120,0.001279,-0.000879,-0.002415,-0.000073,-0.000259,-0.006814,1.999745,2.000330,-0.058196,-0.002615,0.006011,-0.582274,2.980236,2.991545,2.981903,2.989760,
0.320000,2.000014,1.999991,-0.058061,0.000292,-0.000189,-0.594602,-0.000115,-0.000267,-0.000144,0.001411,-0.000673,-0.002644,-0.000050,-0.000296,-0.006597,1.999753,2.000425,-0.064112,-0.002228,0.006011,-0.606108,2.956875,2.973927,2.957880,2.971427,
0.330000,2.000017,1.999989,-0.064007,0.000325,-0.000203,-0.618434,-0.000101,-0.000273,-0.000170,0.001393,-0.000456,-0.002888,-0.000077,-0.000345,-0.006633,2.000014,2.000202,-0.070157,0.001888,0.001702,-0.628087,2.939133,2.952742,2.939174,2.951027,
0.340000,2.000020,1.999987,-0.070192,0.000358,-0.000215,-0.641450,-0.000087,-0.000278,-0.000199,0.001316,-0.000223,-0.003134,-0.000108,-0.000398,-0.006451,2.000141,2.000069,-0.076365,0.003803,-0.000477,-0.648302,2.918076,2.938761,2.915390,2.936790,
0.350000,2.000024,1.999985,-0.076606,0.000391,-0.000225,-0.663667,-0.000074,-0.000280,-0.000230,0.001280,0.000128,-0.003415,-0.000113,-0.000434,-0.006427,2.000177,2.000018,-0.082752,0.003530,-0.001112,-0.667821,2.902522,2.918725,2.899836,2.916601,
0.360000,2.000028,1.999983,-0.083243,0.000425,-0.000234,-0.685104,-0.000061,-0.000279,-0.000265,0.001271,0.000579,-0.003706,-0.000104,-0.000376,-0.006614,2.000099,2.000053,-0.089606,0.001812,-0.000948,-0.690156,2.883412,2.894951,2.883178,2.895430,
0.370000,2.000032,1.999980,-0.090094,0.000458,-0.000242,-0.705753,-0.000048,-0.000273,-0.000302,0.001289,0.000931,-0.003986,-0.000085,-0.000347,-0.006436,1.999989,2.000051,-0.096667,-0.000126,-0.000682,-0.711283,2.862751,2.877297,2.862696,2.876725,
0.380000,2.000037,1.999978,-0.097151,0.000490,-0.000247,-0.725619,-0.000036,-0.000264,-0.000342,0.001285,0.001234,-0.004267,-0.000025,-0.000349,-0.006347,1.999972,2.000209,-0.104059,-0.000610,0.001755,-0.733535,2.840266,2.859177,2.840898,2.857586,
0.390000,2.000042,1.999976,-0.104408,0.000521,-0.000251,-0.744693,-0.000023,-0.000252,-0.000384,0.001203,0.001511,-0.004564,-0.000043,-0.000367,-0.006253,2.000232,2.000086,-0.111962,0.003318,0.000313,-0.760037,2.817064,2.834453,2.817171,2.833928,
0.400000,2.000047,1.999973,-0.111855,0.000550,-0.000254,-0.762945,-0.000011,-0.000236,-0.000430,0.001116,0.001747,-0.004869,-0.000015,-0.000330,-0.006086,2.000140,2.000294,-0.119435,0.000957,0.003247,-0.775090,2.801752,2.819816,2.801741,2.819204,
0.410000,2.000052,1.999970,-0.119484,0.000578,-0.000255,-0.780418,0.000001,-0.000219,-0.000479,0.001025,0.001959,-0.005184,0.000006,-0.000244,-0.006164,1.999806,2.000369,-0.127311,-0.003985,0.003780,-0.792933,2.786367,2.799334,2.788498,2.799034,
0.420000,2.000058,1.999968,-0.127288,0.000603,-0.000255,-0.797130,0.000011,-0.000199,-0.000530,0.000865,0.002063,-0.005483,-0.000010,-0.000243,-0.006211,1.999807,2.000237,-0.135197,-0.003195,0.000953,-0.807778,2.772273,2.783534,2.773703,2.783414,
0.430000,2.000064,1.999965,-0.135259,0.000625,-0.000254,-0.813112,0.000019,-0.000179,-0.000585,0.000683,0.002100,-0.005765,0.000039,-0.000229,-0.006016,1.999730,2.000349,-0.143466,-0.004028,0.002604,-0.825710,2.751062,2.769532,2.753148,2.768849,
0.440000,2.000070,1.999963,-0.143391,0.000646,-0.000252,-0.828369,0.000026,-0.000158,-0.000643,0.000440,0.002080,-0.006058,0.000057,-0.000245,-0.005788,1.999736,2.000356,-0.152048,-0.003456,0.002775,-0.844423,2.727610,2.756735,2.729252,2.755691,
0.450000,2.000077,1.999960,-0.151674,0.000663,-0.000249,-0.842900,0.000031,-0.000137,-0.000703,0.000150,0.002042,-0.006404,0.000003,-0.000258,-0.005706,1.999766,2.000200,-0.160448,-0.002179,0.000139,-0.856597,2.716479,2.741302,2.716413,2.741770,
0.460000,2.000084,1.999958,-0.160103,0.000679,-0.000245,-0.856744,0.000032,-0.000117,-0.000767,-0.000063,0.001998,-0.006781,-0.000004,-0.000235,-0.005541,1.999726,2.000219,-0.169193,-0.002445,0.000744,-0.872618,2.699521,2.724913,2.700152,2.725826,
0.470000,2.000090,1.999955,-0.168671,0.000692,-0.000242,-0.869906,0.000032,-0.000097,-0.000835,-0.000223,0.001909,-0.007185,-0.000053,-0.000274,-0.005564,1.999932,1.999927,-0.177533,0.001008,-0.003615,-0.878953,2.690283,2.717213,2.689900,2.717331,
0.480000,2.000097,1.999953,-0.177370,0.000702,-0.000238,-0.882452,0.000029,-0.000077,-0.000907,-0.000333,0.001846,-0.007617,-0.000093,-0.000220,-0.005640,1.999875,1.999806,-0.186075,0.000018,-0.004882,-0.886622,2.680930,2.705596,2.679969,2.708143,
0.490000,2.000104,1.999951,-0.186194,0.000711,-0.000235,-0.894425,0.000026,-0.000059,-0.000983,-0.000298,0.001740,-0.008068,-0.000016,-0.000221,-0.005699,1.999831,2.000052,-0.195273,-0.001086,-0.000872,-0.902398,2.668651,2.686185,2.668179,2.685897,
0.500000,2.000111,1.999948,-0.195139,0.000717,-0.000232,-0.905808,0.000023,-0.000042,-0.001064,-0.000262,0.001682,-0.008499,0.000022,-0.000249,-0.005865,1.999993,2.000134,-0.204548,0.001222,0.000447,-0.917012,2.652117,2.671303,2.652533,2.670565,
0.510000,2.000119,1.999946,-0.204197,0.000722,-0.000230,-0.916594,0.000020,-0.000025,-0.001149,-0.000275,0.001648,-0.008919,-0.000039,-0.000144,-0.005740,1.999756,1.999909,-0.213646,-0.002459,-0.002706,-0.926192,2.641712,2.657114,2.642558,2.659400,
0.520000,2.000126,1.999944,-0.213363,0.000725,-0.000228,-0.926811,0.000018,-0.000008,-0.001238,-0.000234,0.001509,-0.009319,-0.000013,-0.000147,-0.005693,1.999728,1.999980,-0.222939,-0.002679,-0.001237,-0.935605,2.631395,2.645269,2.631445,2.645848,
0.530000,2.000133,1.999941,-0.222631,0.000726,-0.000226,-0.936479,0.000015,0.000007,-0.001331,-0.000183,0.001376,-0.009695,-0.000042,-0.000171,-0.005870,1.999705,1.999910,-0.231822,-0.002836,-0.002027,-0.937531,2.632661,2.632792,2.631532,2.633430,
0.540000,2.000140,1.999939,-0.231996,0.000725,-0.000224,-0.945661,0.000014,0.000021,-0.001428,-0.000079,0.001287,-0.010001,-0.000037,-0.000179,-0.006203,1.999812,1.999950,-0.241166,-0.000640,-0.000672,-0.945362,2.616804,2.626619,2.616987,2.627821,
0.550000,2.000148,1.999937,-0.241452,0.000723,-0.000223,-0.954370,0.000013,0.000033,-0.001528,0.000040,0.001166,-0.010286,-0.000025,-0.000203,-0.006372,1.999814,1.999923,-0.250893,-0.000194,-0.000903,-0.957416,2.609284,2.607842,2.608739,2.606752,
0.560000,2.000155,1.999935,-0.250996,0.000719,-0.000221,-0.962589,0.000013,0.000045,-0.001631,0.000115,0.001128,-0.010508,-0.000057,-0.000264,-0.006286,2.000042,1.999771,-0.260710,0.003459,-0.003170,-0.968677,2.591716,2.598974,2.590007,2.598503,
0.570000,2.000162,1.999932,-0.260622,0.000714,-0.000220,-0.970310,0.000014,0.000056,-0.001736,0.000220,0.001174,-0.010717,-0.000064,-0.000238,-0.006224,2.000048,1.999690,-0.270585,0.003552,-0.004092,-0.978536,2.582156,2.583369,2.580760,2.583591,
0.580000,2.000169,1.999930,-0.270325,0.000708,-0.000218,-0.977532,0.000017,0.000068,-0.001843,0.000361,0.001253,-0.010892,0.000099,-0.000185,-0.006406,1.999973,2.000169,-0.280360,0.002250,0.003806,-0.985305,2.572555,2.572571,2.573944,2.570949,
0.590000,2.000176,1.999928,-0.280100,0.000701,-0.000217,-0.984277,0.000020,0.000081,-0.001952,0.000367,0.001324,-0.011026,0.000076,-0.000174,-0.006469,1.999994,1.999976,-0.289964,0.002356,0.000576,-0.988339,2.564667,2.566625,2.565679,2.564735,
0.600000,2.000183,1.999926,-0.289943,0.000693,-0.000214,-0.990583,0.000024,0.000094,-0.002063,0.000270,0.001412,-0.011135,0.000087,-0.000143,-0.006541,2.000051,2.000010,-0.300196,0.002736,0.000942,-0.998710,2.552957,2.551710,2.553767,2.551693,
0.610000,2.000190,1.999924,-0.299849,0.000683,-0.000212,-0.996435,0.000026,0.000108,-0.002174,0.000162,0.001454,-0.011216,0.000101,-0.000101,-0.006705,1.999957,2.000112,-0.310113,0.000501,0.002605,-1.003113,2.548171,2.540397,2.548511,2.540006,
0.620000,2.000197,1.999922,-0.309813,0.000672,-0.000209,-1.001857,0.000028,0.000123,-0.002286,0.000051,0.001489,-0.011248,-0.000024,-0.000106,-0.006693,2.000070,1.999726,-0.319969,0.002248,-0.003138,-1.005553,2.543222,2.531647,2.542514,2.532670,
0.630000,2.000204,1.999919,-0.319832,0.000659,-0.000206,-1.006882,0.000029,0.000137,-0.002399,0.000023,0.001507,-0.011231,0.000082,-0.000101,-0.007092,2.000015,1.999985,-0.329979,0.000867,0.000842,-1.010008,2.536371,2.522786,2.536433,2.521078,
0.640000,2.000210,1.999917,-0.329901,0.000645,-0.000203,-1.011522,0.000029,0.000153,-0.002511,-0.000062,0.001579,-0.011160,0.000112,-0.000073,-0.007044,1.999988,2.000098,-0.339972,0.000293,0.002252,-1.013394,2.531267,2.511652,2.532212,2.511393,
0.650000,2.000217,1.999915,-0.340016,0.000630,-0.000200,-1.015793,0.000028,0.000168,-0.002622,-0.000173,0.001612,-0.011021,0.000102,-0.000013,-0.007010,1.999868,2.000123,-0.350183,-0.001426,0.002254,-1.018801,2.521448,2.502529,2.522767,2.503140,
0.660000,2.000223,1.999913,-0.350174,0.000612,-0.000197,-1.019697,0.000026,0.000184,-0.002733,-0.000286,0.001571,-0.010834,0.000130,0.000053,-0.007007,1.999750,2.000289,-0.360407,-0.002561,0.004584,-1.023040,2.507782,2.498942,2.510149,2.499847,
0.670000,2.000229,1.999911,-0.360371,0.000594,-0.000195,-1.023240,0.000023,0.000200,-0.002841,-0.000429,0.001422,-0.010645,0.000111,0.000003,-0.006868,1.999958,2.000280,-0.370530,0.000527,0.003498,-1.024644,2.503113,2.492140,2.504562,2.491845,
0.680000,2.000235,1.999909,-0.370603,0.000573,-0.000192,-1.026445,0.000019,0.000214,-0.002947,-0.000604,0.001262,-0.010447,0.000097,-0.000040,-0.006928,2.000134,2.000308,-0.380740,0.003145,0.003113,-1.026529,2.499803,2.483429,2.499825,2.482528,
0.690000,2.000241,1.999908,-0.380867,0.000552,-0.000190,-1.029326,0.000013,0.000227,-0.003052,-0.000777,0.001165,-0.010222,0.000099,0.000019,-0.006961,1.999975,2.000392,-0.391137,0.000308,0.003928,-1.031230,2.490583,2.474792,2.491187,2.474125,
0.700000,2.000246,1.999906,-0.391161,0.000529,-0.000189,-1.031879,0.000005,0.000239,-0.003154,-0.000961,0.001090,-0.009975,0.000073,-0.000113,-0.007031,2.000458,2.000393,-0.401381,0.007579,0.002931,-1.032910,2.481719,2.472077,2.480825,2.470544,
0.710000,2.000252,1.999904,-0.401480,0.000505,-0.000188,-1.034119,-0.000004,0.000250,-0.003254,-0.001130,0.001116,-0.009738,-0.000012,-0.000197,-0.007082,2.000852,2.000195,-0.411412,0.012575,-0.000367,-1.030906,2.478464,2.469610,2.475551,2.467503,
0.720000,2.000257,1.999902,-0.411821,0.000480,-0.000189,-1.036080,-0.000016,0.000261,-0.003351,-0.001237,0.001314,-0.009515,-0.000075,-0.000075,-0.007225,2.000684,2.000142,-0.421732,0.008054,-0.000898,-1.033045,2.469640,2.463526,2.466940,2.463953,
0.730000,2.000261,1.999900,-0.422182,0.000454,-0.000190,-1.037763,-0.000028,0.000274,-0.003446,-0.001212,0.001553,-0.009318,-0.000185,-0.000021,-0.007531,2.000710,1.999852,-0.431982,0.006827,-0.005422,-1.033252,2.470954,2.450969,2.468562,2.452456,
0.740000,2.000266,1.999898,-0.432559,0.000427,-0.000193,-1.039182,-0.000040,0.000289,-0.003540,-0.001055,0.001776,-0.009088,-0.000120,0.000056,-0.007377,2.000612,2.000117,-0.442538,0.004275,-0.000406,-1.037892,2.460993,2.443235,2.459333,2.444339,
0.750000,2.000270,1.999896,-0.442951,0.000398,-0.000197,-1.040320,-0.000051,0.000307,-0.003631,-0.000831,0.001974,-0.008839,-0.000205,0.000166,-0.007161,2.000362,1.999906,-0.453030,-0.000515,-0.003476,-1.040125,2.450385,2.439014,2.449611,2.441206,
0.760000,2.000274,1.999894,-0.453354,0.000368,-0.000202,-1.041178,-0.000059,0.000327,-0.003719,-0.000547,0.002083,-0.008600,-0.000120,0.000182,-0.007125,2.000440,2.000084,-0.463380,0.000825,-0.000072,-1.039721,2.446418,2.432655,2.447910,2.433747,
0.770000,2.000278,1.999892,-0.463766,0.000335,-0.000207,-1.041772,-0.000065,0.000348,-0.003805,-0.000334,0.002078,-0.008353,-0.000164,0.000232,-0.007027,2.000320,1.999963,-0.473974,-0.001533,-0.001779,-1.043376,2.442138,2.421284,2.442303,2.422849,
0.780000,2.000281,1.999890,-0.474184,0.000301,-0.000213,-1.042091,-0.000068,0.000368,-0.003888,-0.000115,0.002013,-0.008075,-0.000185,0.000311,-0.007278,2.000199,1.999920,-0.484354,-0.002921,-0.001764,-1.043540,2.432251,2.419120,2.433564,2.422389,
0.790000,2.000284,1.999888,-0.484605,0.000265,-0.000220,-1.042148,-0.000069,0.000389,-0.003969,0.000130,0.001799,-0.007804,-0.000079,0.000402,-0.007241,1.999904,2.000272,-0.494831,-0.006896,0.003605,-1.044091,2.426534,2.413804,2.428632,2.415753,
0.800000,2.000287,1.999886,-0.495026,0.000227,-0.000227,-1.041949,-0.000068,0.000407,-0.004047,0.000321,0.001485,-0.007536,-0.000153,0.000388,-0.007293,1.999912,2.000110,-0.505665,-0.005494,0.001117,-1.049713,2.417113,2.403854,2.419145,2.406072,
0.810000,2.000289,1.999883,-0.505446,0.000187,-0.000233,-1.041469,-0.000065,0.000421,-0.004123,0.000480,0.001083,-0.007268,-0.000225,0.000336,-0.007339,2.000010,1.999819,-0.516158,-0.003633,-0.003218,-1.049007,2.410741,2.401534,2.412081,2.402960,
0.820000,2.000291,1.999881,-0.515860,0.000146,-0.000239,-1.040727,-0.000060,0.000432,-0.004195,0.000611,0.000664,-0.007018,-0.000230,0.000351,-0.007425,2.000045,1.999693,-0.526519,-0.002245,-0.004557,-1.046286,2.407672,2.397550,2.409292,2.400243,
0.830000,2.000293,1.999879,-0.526267,0.000104,-0.000245,-1.039749,-0.000054,0.000439,-0.004265,0.000753,0.000176,-0.006779,-0.000273,0.000362,-0.007213,1.999996,1.999543,-0.537127,-0.003166,-0.006565,-1.047600,2.398376,2.395136,2.397658,2.398432,
0.840000,2.000294,1.999876,-0.536665,0.000062,-0.000250,-1.038533,-0.000046,0.000441,-0.004333,0.001009,-0.000305,-0.006583,-0.000154,0.000310,-0.006845,2.000158,1.999765,-0.547571,-0.000497,-0.002619,-1.045675,2.391475,2.394713,2.392094,2.396202,
0.850000,2.000294,1.999874,-0.547050,0.000019,-0.000254,-1.037095,-0.000036,0.000438,-0.004399,0.001244,-0.000765,-0.006441,-0.000137,0.000285,-0.006767,2.000144,1.999720,-0.557818,-0.000883,-0.003104,-1.041495,2.391159,2.392293,2.390732,2.392348,
0.860000,2.000294,1.999871,-0.557421,-0.000023,-0.000257,-1.035465,-0.000024,0.000430,-0.004464,0.001449,-0.001119,-0.006333,-0.000105,0.000322,-0.006957,2.000006,1.999680,-0.568079,-0.003139,-0.002812,-1.037524,2.390135,2.387937,2.391278,2.388572,
0.870000,2.000294,1.999869,-0.567776,-0.000065,-0.000260,-1.033664,-0.000009,0.000419,-0.004527,0.001596,-0.001466,-0.006237,-0.000084,0.000248,-0.007224,2.000122,1.999674,-0.578538,-0.001243,-0.002027,-1.037018,2.384637,2.384515,2.384558,2.384810,
0.880000,2.000293,1.999866,-0.578113,-0.000105,-0.000260,-1.031686,0.000007,0.000404,-0.004589,0.001726,-0.001751,-0.006160,-0.000071,0.000217,-0.007216,2.000133,1.999675,-0.588716,-0.001073,-0.001948,-1.032292,2.387354,2.378891,2.386862,2.379237,
0.890000,2.000292,1.999864,-0.588429,-0.000144,-0.000259,-1.029555,0.000024,0.000387,-0.004651,0.001859,-0.001974,-0.006067,-0.000019,0.000269,-0.006808,1.999903,1.999745,-0.598824,-0.003884,-0.000855,-1.027518,2.376746,2.386165,2.377321,2.386220,
0.900000,2.000291,1.999861,-0.598725,-0.000181,-0.000257,-1.027291,0.000042,0.000367,-0.004711,0.001948,-0.002174,-0.006028,-0.000025,0.000073,-0.006965,2.000349,1.999684,-0.608767,0.003684,-0.001112,-1.021084,2.383811,2.380130,2.382923,2.379003,
0.910000,2.000289,1.999858,-0.608998,-0.000216,-0.000253,-1.024917,0.000062,0.000345,-0.004772,0.002010,-0.002263,-0.005983,-0.000006,0.000049,-0.007182,2.000347,1.999672,-0.618790,0.003062,-0.001177,-1.015582,2.382266,2.380602,2.380805,2.378653,
0.920000,2.000287,1.999856,-0.619247,-0.000249,-0.000247,-1.022450,0.000082,0.000322,-0.004832,0.002043,-0.002214,-0.005938,0.000020,0.000087,-0.007037,2.000252,1.999670,-0.629191,0.001320,-0.001348,-1.016769,2.373717,2.375740,2.373580,2.374924,
0.930000,2.000285,1.999853,-0.629472,-0.000279,-0.000239,-1.019858,0.000102,0.000300,-0.004891,0.002045,-0.002141,-0.005910,0.000110,0.000061,-0.007121,2.000247,1.999828,-0.639555,0.001329,0.000764,-1.016728,2.371445,2.368378,2.371236,2.366298,
0.940000,2.000282,1.999851,-0.639670,-0.000308,-0.000229,-1.017127,0.000123,0.000279,-0.004950,0.001981,-0.002002,-0.005871,0.000118,-0.000074,-0.007412,2.000567,1.999762,-0.649738,0.006192,0.000001,-1.014650,2.370138,2.363345,2.369491,2.360256,
0.950000,2.000279,1.999849,-0.649841,-0.000334,-0.000217,-1.014254,0.000143,0.000259,-0.005009,0.001843,-0.001758,-0.005807,0.000092,-0.000103,-0.007297,2.000688,1.999700,-0.660136,0.006892,-0.001511,-1.015470,2.363789,2.357992,2.361704,2.356490,
0.960000,2.000275,1.999847,-0.659984,-0.000359,-0.000203,-1.011223,0.000161,0.000241,-0.005067,0.001753,-0.001437,-0.005735,0.000001,0.000108,-0.007092,2.000210,1.999481,-0.670222,-0.001072,-0.004642,-1.011862,2.360883,2.354293,2.359760,2.355689,
